Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.9176666666666666,1.6649680157548647,0.3965715534070617,0.94,2.3096412442209173,3.6668860766842997,3.673219727253148,0.8823772245412226,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.9683333333333334,1.9839317571003103,0.3965715534070617,0.978,2.5878336327807934,3.6668860766842997,3.673219727253148,0.8823772245412226,500
Linear,Logistic,experimental,False,1,0.9,0.8666666666666666,0.2985220382766737,0.08032954714335858,0.858,0.42588904901239366,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,1,0.95,0.9276666666666666,0.3557109483949417,0.08032954714335858,0.908,0.4732054604923478,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,4,0.9,0.469,1.385425299133638,0.8291392834950805,0.332,1.78816179246692,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,4,0.95,0.5746666666666667,1.6508360653374252,0.8291392834950805,0.432,2.035004980001657,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,6,0.9,0.905,1.3978653080426409,0.3351675196253679,0.896,1.799739390962864,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,False,6,0.95,0.951,1.6656592502272516,0.3351675196253679,0.946,2.049982822531411,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,True,1,0.9,0.8693333333333334,0.29852676546237694,0.08045667559004953,0.844,0.4259770328026022,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,1,0.95,0.9273333333333333,0.3557165811841303,0.08045667559004953,0.92,0.4731312968260002,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,4,0.9,0.474,1.3855744881365462,0.8290728030361341,0.342,1.7882955240502534,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,4,0.95,0.5766666666666667,1.6510138349989913,0.8290728030361341,0.454,2.0346621930802478,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,6,0.9,0.91,1.3974935711705463,0.33476026099477,0.896,1.800052207362101,4.78576655831704,4.816427096646486,,500
Linear,Logistic,experimental,True,6,0.95,0.9516666666666667,1.6652162984234602,0.33476026099477,0.944,2.0490585716874223,4.78576655831704,4.816427096646486,,500
Linear,Logistic,observational,False,1,0.9,0.8966666666666666,0.31895870510261515,0.07868199724566835,0.888,0.4549331199458131,1.4307576389325865,1.43345005442208,0.6767021399480564,500
