Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.942,4.2092538614652515,1.010396431841649,0.978,5.32309131136417,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.9813333333333334,5.015635333794622,1.010396431841649,0.986,6.050885394857413,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.9353333333333333,5.243902823685244,1.309617104242604,0.97,6.608531391637682,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.9846666666666666,6.24849561349704,1.309617104242604,0.986,7.510504554907851,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.9373333333333334,3.851554037508468,0.8803792573839961,0.968,4.872365198337216,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.9793333333333334,4.589409704508098,0.8803792573839961,0.984,5.526781103832225,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.93,1.779208972012963,0.39690669971867254,0.966,2.2606069199738372,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9746666666666667,2.1200582525868863,0.39690669971867254,0.982,2.562117004861023,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.9266666666666666,2.168069968613998,0.47489079673089873,0.934,2.746526936060071,3.6023625666216796,3.656369960958097,0.8544314031214001,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.972,2.5834147092601385,0.47489079673089873,0.96,3.115091120975245,3.6023625666216796,3.656369960958097,0.8544314031214001,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.91,1.7673532658184532,0.4106872309945523,0.932,2.2475327707857917,3.6668860766842997,3.673219727253148,0.8823772245412226,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.9646666666666667,2.1059313073245325,0.4106872309945523,0.97,2.5510055740837005,3.6668860766842997,3.673219727253148,0.8823772245412226,500
Linear,Logistic,experimental,False,1,0.9,0.8726666666666666,0.37502551794580635,0.0980905512464107,0.858,0.4819431304802122,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,1,0.95,0.9293333333333333,0.4468704670211642,0.0980905512464107,0.934,0.5436989116704612,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,4,0.9,0.5553333333333332,1.5342391154237787,0.8236779022069166,0.336,1.9331195643955514,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,4,0.95,0.6573333333333332,1.8281586644742303,0.8236779022069166,0.44,2.195970525124974,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,6,0.9,0.9,1.542937519327997,0.37388874901155206,0.898,1.941930784149397,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,False,6,0.95,0.946,1.8385234520127105,0.37388874901155206,0.95,2.2091516410523524,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,True,1,0.9,0.868,0.3750038027610117,0.09839976280226585,0.854,0.48175169835973375,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,1,0.95,0.9306666666666666,0.4468445917825303,0.09839976280226585,0.932,0.5438357202502617,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,4,0.9,0.5553333333333333,1.534124821526472,0.8234290333475868,0.342,1.9350713098222938,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,4,0.95,0.6613333333333332,1.8280224748955933,0.8234290333475868,0.444,2.19645734171477,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,6,0.9,0.9006666666666666,1.542696384871231,0.37318032253020644,0.9,1.9422837051318496,4.78576655831704,4.816427096646486,,500
Linear,Logistic,experimental,True,6,0.95,0.9493333333333334,1.8382361225853687,0.37318032253020644,0.954,2.208765269949538,4.78576655831704,4.816427096646486,,500
Linear,Logistic,observational,False,1,0.9,0.8893333333333334,0.40054916633616183,0.09776809098336145,0.924,0.5142529883017366,1.4307576389325865,1.43345005442208,0.6767021399480564,500
Linear,Logistic,observational,False,1,0.95,0.9526666666666667,0.47728376993120875,0.09776809098336145,0.962,0.5813341242992942,1.4307576389325865,1.43345005442208,0.6767021399480564,500
Linear,Logistic,observational,False,4,0.9,0.6906666666666667,1.9158629808067722,0.7727663045366717,0.588,2.397367286396628,4.632192822877654,4.674876689774085,0.6765506392804086,500
Linear,Logistic,observational,False,4,0.95,0.792,2.2828915474103826,0.7727663045366717,0.708,2.731668509811014,4.632192822877654,4.674876689774085,0.6765506392804086,500
Linear,Logistic,observational,False,6,0.9,0.9046666666666666,1.7068943585446565,0.42630674479250796,0.91,2.13740957690726,4.7881148275256455,4.815953043151829,0.6973883348636404,500
Linear,Logistic,observational,False,6,0.95,0.952,2.033890075898422,0.42630674479250796,0.96,2.436350353448931,4.7881148275256455,4.815953043151829,0.6973883348636404,500
Linear,Logistic,observational,True,1,0.9,0.886,0.39627966077256066,0.09738926063987939,0.918,0.5089934143156859,1.4307941803206001,1.434054951101132,0.6767148696162103,500
Linear,Logistic,observational,True,1,0.95,0.9526666666666667,0.47219634026613816,0.09738926063987939,0.966,0.5744685752054821,1.4307941803206001,1.434054951101132,0.6767148696162103,500
Linear,Logistic,observational,True,4,0.9,0.686,1.9072075411411775,0.7786275392768665,0.596,2.3889872340724247,4.633353199848344,4.672360931794965,0.6765044995038704,500
Linear,Logistic,observational,True,4,0.95,0.7906666666666666,2.272577954919866,0.7786275392768665,0.692,2.719095432079242,4.633353199848344,4.672360931794965,0.6765044995038704,500
Linear,Logistic,observational,True,6,0.9,0.8926666666666666,1.6941211069824236,0.4296741461421564,0.906,2.120335772428661,4.789419332950871,4.818343116282321,0.6974028333059313,500
Linear,Logistic,observational,True,6,0.95,0.954,2.018669807895703,0.4296741461421564,0.952,2.4159333102414347,4.789419332950871,4.818343116282321,0.6974028333059313,500
