Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_d0_t0,Loss g_d1_t0,Loss g_d0_t1,Loss g_d1_t1,Loss m,repetition
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9633333333333334,7.121685784633302,1.3573267999895784,0.976,8.655695090027478,6.533363534487095,5.971300642723277,10.333879162599889,9.338928235430592,0.6228870985183892,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.9273333333333333,7.851617576567602,1.7914497690759623,0.938,10.078639500360797,5.497024467973652,5.561705991839951,8.598908854808856,8.697130181650616,0.6200653371867182,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.9693333333333334,9.355779394775396,1.7914497690759623,0.964,11.361054160716776,5.497024467973652,5.561705991839951,8.598908854808856,8.697130181650616,0.6200653371867182,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.9233333333333333,5.88530044401027,1.3750839680215412,0.936,7.557165006967962,5.567728058114271,5.565810352790264,8.723859471474745,8.748303462480818,0.6422195316953053,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.964,7.012768017441367,1.3750839680215412,0.98,8.532788007892968,5.567728058114271,5.565810352790264,8.723859471474745,8.748303462480818,0.6422195316953053,500
Linear,Logistic,experimental,False,1,0.9,0.936,0.4914302407423301,0.11033133645552719,0.954,0.6293360365580454,1.4295992306361773,1.4330546917841038,1.429518759916539,1.4330406192994734,,500
Linear,Logistic,experimental,False,1,0.95,0.972,0.5855752493636517,0.11033133645552719,0.98,0.7115438166087675,1.4295992306361773,1.4330546917841038,1.429518759916539,1.4330406192994734,,500
Linear,Logistic,experimental,False,4,0.9,0.8406666666666667,3.840567028456284,1.1014835421608788,0.798,4.9375813102385875,7.321203694870776,7.346131491554703,11.64725757683623,11.681722152595224,,500
Linear,Logistic,experimental,False,4,0.95,0.9046666666666666,4.576317875735463,1.1014835421608788,0.888,5.566574891511539,7.321203694870776,7.346131491554703,11.64725757683623,11.681722152595224,,500
Linear,Logistic,experimental,False,6,0.9,0.966,4.006102274802559,0.7333909974106717,0.986,5.147884564241941,7.550175427553588,7.556429625112174,12.025860286964557,12.040054324254646,,500
Linear,Logistic,experimental,False,6,0.95,0.9886666666666666,4.773565287720673,0.7333909974106717,1.0,5.814413612434032,7.550175427553588,7.556429625112174,12.025860286964557,12.040054324254646,,500
Linear,Logistic,experimental,True,1,0.9,0.9333333333333333,0.4916093488001464,0.11005187276780863,0.956,0.6308488236696974,1.4297918493317698,1.4330925114028943,1.4293702283423204,1.4329931580822406,,500
Linear,Logistic,experimental,True,1,0.95,0.9706666666666667,0.5857886697780332,0.11005187276780863,0.98,0.712041990422853,1.4297918493317698,1.4330925114028943,1.4293702283423204,1.4329931580822406,,500
Linear,Logistic,experimental,True,4,0.9,0.8446666666666667,3.8422565050260102,1.1037167662494793,0.802,4.94109282512308,7.323311676355966,7.344360645532968,11.642096575677263,11.677492827934593,,500
Linear,Logistic,experimental,True,4,0.95,0.9013333333333333,4.5783310112358695,1.1037167662494793,0.882,5.5711737663746765,7.323311676355966,7.344360645532968,11.642096575677263,11.677492827934593,,500
Linear,Logistic,experimental,True,6,0.9,0.9673333333333334,4.009454288174308,0.7329980853424707,0.986,5.157254414820895,7.548119183671262,7.553679375292848,12.029982381647429,12.03807004700978,,500
Linear,Logistic,experimental,True,6,0.95,0.992,4.777559458008338,0.7329980853424707,0.998,5.816881956855812,7.548119183671262,7.553679375292848,12.029982381647429,12.03807004700978,,500
