Method,fs specification,Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
rdflex,cutoff and score,LGBM,Linear,0.95,0.9769585253456221,2.6098242782372685,0.476572454906507,217
rdflex,cutoff and score,LGBM,Stacked,0.9,0.9631336405529954,2.127598733806921,0.5055877189165086,217
rdflex,cutoff and score,LGBM,Stacked,0.95,0.9815668202764977,2.5351902585661588,0.5055877189165086,217
rdflex,cutoff and score,Linear,Global linear,0.9,0.9308755760368663,10.6183335991908,2.57506683909891,217
rdflex,cutoff and score,Linear,Global linear,0.95,0.9769585253456221,12.652524874700923,2.57506683909891,217
rdflex,cutoff and score,Linear,LGBM,0.9,0.9539170506912442,10.826220034380567,2.6777194198414818,217
rdflex,cutoff and score,Linear,LGBM,0.95,0.9861751152073732,12.900236840781162,2.6777194198414818,217
rdflex,cutoff and score,Linear,Linear,0.9,0.9262672811059908,10.69944982619122,2.5646436787025597,217
rdflex,cutoff and score,Linear,Linear,0.95,0.9769585253456221,12.749180820784865,2.5646436787025597,217
rdflex,cutoff and score,Linear,Stacked,0.9,0.9354838709677419,10.751501582564302,2.6245300269302088,217
rdflex,cutoff and score,Linear,Stacked,0.95,0.9723502304147466,12.811204314031723,2.6245300269302088,217
rdflex,cutoff and score,Stacked,Global linear,0.9,0.9262672811059908,2.17162675987569,0.49494151455672375,217
rdflex,cutoff and score,Stacked,Global linear,0.95,0.9723502304147466,2.5876528874537583,0.49494151455672375,217
rdflex,cutoff and score,Stacked,LGBM,0.9,0.9493087557603687,2.1455639277701564,0.4946703831049009,217
rdflex,cutoff and score,Stacked,LGBM,0.95,0.967741935483871,2.556597107519933,0.4946703831049009,217
rdflex,cutoff and score,Stacked,Linear,0.9,0.9447004608294931,2.206103261322976,0.5011706525649103,217
rdflex,cutoff and score,Stacked,Linear,0.95,0.9907834101382489,2.628734172768404,0.5011706525649103,217
rdflex,cutoff and score,Stacked,Stacked,0.9,0.9585253456221198,2.2437871348881275,0.48784465798215604,217
rdflex,cutoff and score,Stacked,Stacked,0.95,0.9815668202764977,2.6736372776863453,0.48784465798215604,217
rdflex,interacted cutoff and score,Global linear,Global linear,0.9,0.9447004608294931,10.508881325276196,2.5146718364655376,217
rdflex,interacted cutoff and score,Global linear,Global linear,0.95,0.9769585253456221,12.522104446169402,2.5146718364655376,217
rdflex,interacted cutoff and score,Global linear,LGBM,0.9,0.9493087557603687,10.862994474349396,2.6434170146772997,217
rdflex,interacted cutoff and score,Global linear,LGBM,0.95,0.9815668202764977,12.944056288730534,2.6434170146772997,217
rdflex,interacted cutoff and score,Global linear,Linear,0.9,0.9493087557603687,10.659182193272454,2.562387071645934,217
rdflex,interacted cutoff and score,Global linear,Linear,0.95,0.9769585253456221,12.701198976704466,2.562387071645934,217
rdflex,interacted cutoff and score,Global linear,Stacked,0.9,0.9447004608294931,10.538266883652,2.581146002449696,217
rdflex,interacted cutoff and score,Global linear,Stacked,0.95,0.9723502304147466,12.55711949865703,2.581146002449696,217
rdflex,interacted cutoff and score,LGBM,Global linear,0.9,0.9354838709677419,2.1353135795757128,0.4955575668846419,217
rdflex,interacted cutoff and score,LGBM,Global linear,0.95,0.9769585253456221,2.5443830642999656,0.4955575668846419,217
rdflex,interacted cutoff and score,LGBM,LGBM,0.9,0.9447004608294931,2.2404416350231826,0.5337557158624718,217
rdflex,interacted cutoff and score,LGBM,LGBM,0.95,0.9815668202764977,2.669650868720748,0.5337557158624718,217
rdflex,interacted cutoff and score,LGBM,Linear,0.9,0.9308755760368663,2.200725009256717,0.5200782983421628,217
